GeneId                                                       TseIntronBegin       TseIntronEnd         AraIntronLocStart    AraIntronLocEnd     
CfasciculataCfCl_CfaC1_05_11                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_05_12                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_05_13                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_05_14                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_05_15                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_05_16                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_05_17                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_05_18                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_05_19                                 notfound             notfound             nointron             nointron            
CfasciculataCfCl_CfaC1_06_20                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_07_21                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_07_22                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_07_23                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_07_24                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_07_25                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_07_26                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_07_27                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_07_28                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_07_29                                 notfound             notfound             nointron             nointron            
CfasciculataCfCl_CfaC1_08_30                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_08_31                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_09_32                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_09_33                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_09_34                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_10_35                                 notfound             notfound             32                   81                  
CfasciculataCfCl_CfaC1_10_36                                 notfound             notfound             34                   90                  
CfasciculataCfCl_CfaC1_10_37                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_11_38                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_11_39                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_12_40                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_13_41                                 notfound             notfound             29                   121                 
CfasciculataCfCl_CfaC1_13_42                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_13_43                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_13_44                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_14_45                                 notfound             notfound             35                   97                  
CfasciculataCfCl_CfaC1_15_46                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_15_47                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_15_48                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_15_49                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_15_50                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_15_51                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_15_52                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_15_53                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_15_54                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_15_55                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_15_56                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_16_57                                 notfound             notfound             nointron             nointron            
CfasciculataCfCl_CfaC1_18_58                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_20_59                                 notfound             notfound             36                   50                  
CfasciculataCfCl_CfaC1_20_60                                 notfound             notfound             43                   115                 
CfasciculataCfCl_CfaC1_20_61                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_20_62                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_21_63                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_21_64                                 notfound             notfound             nointron             nointron            
CfasciculataCfCl_CfaC1_21_65                                 notfound             notfound             nointron             nointron            
CfasciculataCfCl_CfaC1_22_66                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_22_67                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_23_68                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_24_69                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_24_70                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_24_71                                 notfound             notfound             30                   101                 
CfasciculataCfCl_CfaC1_25_72                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_25_73                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_25_74                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_25_75                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_25_76                                 465907               465917               38                   49                  
CfasciculataCfCl_CfaC1_25_77                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_25_78                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_25_79                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_25_80                                 notfound             notfound             32                   60                  
CfasciculataCfCl_CfaC1_25_81                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_25_82                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_25_83                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_25_84                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_25_85                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_26_86                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_26_87                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_26_88                                 notfound             notfound             33                   147                 
CfasciculataCfCl_CfaC1_26_89                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_27_90                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_27_91                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_27_92                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_27_93                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_27_94                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_27_95                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_27_96                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_27_97                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_27_98                                 notfound             notfound             35                   105                 
CfasciculataCfCl_CfaC1_27_99                                 0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_28_100                                0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_28_101                                0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_28_102                                0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_28_103                                0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_28_104                                0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_28_105                                0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_28_106                                notfound             notfound             nointron             nointron            
CfasciculataCfCl_CfaC1_28_107                                0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_28_108                                0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_28_109                                0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_28_110                                0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_28_111                                0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_29_112                                0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_29_113                                1114315              1114325              38                   49                  
CfasciculataCfCl_CfaC1_29_114                                0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_29_115                                0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_29_116                                0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_29_117                                0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_29_118                                0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_29_119                                1874848              1874858              38                   49                  
CfasciculataCfCl_CfaC1_29_120                                0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_29_121                                0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_29_122                                0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_29_123                                notfound             notfound             nointron             nointron            
CfasciculataCfCl_CfaC1_30_124                                notfound             notfound             34                   59                  
CfasciculataCfCl_CfaC1_30_125                                notfound             notfound             36                   93                  
CfasciculataCfCl_CfaC1_30_126                                notfound             notfound             35                   107                 
CfasciculataCfCl_CfaC1_30_127                                notfound             notfound             34                   85                  
CfasciculataCfCl_CfaC1_30_128                                notfound             notfound             36                   102                 
CfasciculataCfCl_CfaC1_30_129                                notfound             notfound             31                   60                  
CfasciculataCfCl_CfaC1_30_130                                notfound             notfound             38                   45                  
CfasciculataCfCl_CfaC1_30_131                                notfound             notfound             32                   95                  
CfasciculataCfCl_CfaC1_30_132                                notfound             notfound             nointron             nointron            
CfasciculataCfCl_CfaC1_30_133                                0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_30_134                                0                    0                    nointron             nointron            
CfasciculataCfCl_CfaC1_30_135                                notfound             notfound             30                   52                  
EmonterogeiiLV88_EmoLV88_03_1                                0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_03_2                                0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_05_3                                0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_06_4                                0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_06_5                                notfound             notfound             nointron             nointron            
EmonterogeiiLV88_EmoLV88_07_6                                0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_09_7                                0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_09_8                                0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_09_9                                0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_09_10                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_09_11                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_09_12                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_09_13                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_09_14                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_09_15                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_09_16                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_09_17                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_09_18                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_09_19                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_10_20                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_10_21                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_10_22                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_11_23                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_11_24                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_11_25                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_11_26                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_11_27                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_11_28                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_11_29                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_11_30                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_15_31                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_15_32                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_15_33                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_15_34                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_16_35                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_16_36                               notfound             notfound             38                   120                 
EmonterogeiiLV88_EmoLV88_17_37                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_17_38                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_17_39                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_21_40                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_21_41                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_21_42                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_21_43                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_21_44                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_23_45                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_23_46                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_23_47                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_23_48                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_23_49                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_23_50                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_23_51                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_23_52                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_23_53                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_23_54                               notfound             notfound             30                   50                  
EmonterogeiiLV88_EmoLV88_24_55                               0                    0                    notfound             notfound            
EmonterogeiiLV88_EmoLV88_24_56                               notfound             notfound             29                   118                 
EmonterogeiiLV88_EmoLV88_24_57                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_24_58                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_24_59                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_24_60                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_24_61                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_24_62                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_24_63                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_24_64                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_25_65                               notfound             notfound             nointron             nointron            
EmonterogeiiLV88_EmoLV88_26_66                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_30_67                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_31_68                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_31_69                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_31_70                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_31_71                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_31_72                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_31_73                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_33_74                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_33_75                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_33_76                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_33_77                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_34_78                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_34_79                               1246266              1246276              38                   49                  
EmonterogeiiLV88_EmoLV88_34_80                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_34_81                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_34_82                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_34_83                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_34_84                               422539               422549               38                   49                  
EmonterogeiiLV88_EmoLV88_34_85                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_34_86                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_34_87                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_34_88                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_36_89                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_36_90                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_36_91                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_36_92                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_36_93                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_36_94                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_36_95                               0                    0                    nointron             nointron            
EmonterogeiiLV88_EmoLV88_36_96                               0                    0                    nointron             nointron            
