GeneId                                                    SourceOrg                        SourceSeq                        SourceSO    Direction  TseBegin   TseEnd     AraBegin   AraEnd     Foundby
BayalaiB08-376_Baya_118_49                                BayalaiB08-376                   Baya_118                         contig      -          -1         -1         37483      37575      ara    
BayalaiB08-376_Baya_130_50                                BayalaiB08-376                   Baya_130                         contig      +          22348      22419      22347      22421      both   
BayalaiB08-376_Baya_138_51                                BayalaiB08-376                   Baya_138                         contig      -          -1         -1         42423      42565      ara    
BayalaiB08-376_Baya_162_52                                BayalaiB08-376                   Baya_162                         contig      +          133        205        132        206        both   
BayalaiB08-376_Baya_168_53                                BayalaiB08-376                   Baya_168                         contig      -          154        236        154        236        both   
BayalaiB08-376_Baya_168_54                                BayalaiB08-376                   Baya_168                         contig      +          310        381        310        381        both   
BayalaiB08-376_Baya_178_55                                BayalaiB08-376                   Baya_178                         contig      -          80         150        80         150        both   
BayalaiB08-376_Baya_195_56                                BayalaiB08-376                   Baya_195                         contig      -          -1         -1         15158      15325      ara    
BayalaiB08-376_Baya_228_57                                BayalaiB08-376                   Baya_228                         contig      -          93         165        92         166        both   
BayalaiB08-376_Baya_237_58                                BayalaiB08-376                   Baya_237                         contig      -          17791      17864      17791      17864      both   
BayalaiB08-376_Baya_237_59                                BayalaiB08-376                   Baya_237                         contig      -          18258      18329      18258      18329      both   
BayalaiB08-376_Baya_237_60                                BayalaiB08-376                   Baya_237                         contig      +          18404      18475      18403      18476      both   
BayalaiB08-376_Baya_237_61                                BayalaiB08-376                   Baya_237                         contig      +          18532      18614      18531      18615      both   
BayalaiB08-376_Baya_237_62                                BayalaiB08-376                   Baya_237                         contig      +          18670      18741      18669      18742      both   
BayalaiB08-376_Baya_237_63                                BayalaiB08-376                   Baya_237                         contig      +          18798      18870      18798      18870      both   
BayalaiB08-376_Baya_237_64                                BayalaiB08-376                   Baya_237                         contig      -          18912      18983      18911      18983      both   
BayalaiB08-376_Baya_237_65                                BayalaiB08-376                   Baya_237                         contig      +          19057      19128      19057      19128      both   
BayalaiB08-376_Baya_237_66                                BayalaiB08-376                   Baya_237                         contig      -          19466      19537      19464      19538      both   
BayalaiB08-376_Baya_256_67                                BayalaiB08-376                   Baya_256                         contig      +          -1         -1         388        585        ara    
BayalaiB08-376_Baya_294_68                                BayalaiB08-376                   Baya_294                         contig      +          9666       9737       9666       9738       both   
BayalaiB08-376_Baya_294_69                                BayalaiB08-376                   Baya_294                         contig      +          9795       9867       9795       9868       both   
BayalaiB08-376_Baya_294_70                                BayalaiB08-376                   Baya_294                         contig      +          9923       9994       9923       9995       both   
BayalaiB08-376_Baya_296_71                                BayalaiB08-376                   Baya_296                         contig      -          1078       1149       1077       1149       both   
BayalaiB08-376_Baya_296_72                                BayalaiB08-376                   Baya_296                         contig      +          1221       1293       1220       1294       both   
BayalaiB08-376_Baya_296_73                                BayalaiB08-376                   Baya_296                         contig      +          1351       1421       1351       1421       both   
BayalaiB08-376_Baya_296_74                                BayalaiB08-376                   Baya_296                         contig      -          1473       1544       1473       1544       both   
BayalaiB08-376_Baya_297_75                                BayalaiB08-376                   Baya_297                         contig      +          184        255        183        256        both   
BayalaiB08-376_Baya_297_76                                BayalaiB08-376                   Baya_297                         contig      +          60         130        60         130        both   
BayalaiB08-376_Baya_300_77                                BayalaiB08-376                   Baya_300                         contig      +          109        180        109        180        both   
BayalaiB08-376_Baya_312_78                                BayalaiB08-376                   Baya_312                         contig      -          659        740        659        740        both   
BayalaiB08-376_Baya_357_79                                BayalaiB08-376                   Baya_357                         contig      +          83         153        83         153        both   
CfasciculataCfCl_CfaC1_01_1                               CfasciculataCfCl                 CfaC1_01                         chromosome  +          181244     181315     181244     181315     both   
CfasciculataCfCl_CfaC1_01_2                               CfasciculataCfCl                 CfaC1_01                         chromosome  +          408538     408610     408538     408610     both   
CfasciculataCfCl_CfaC1_02_3                               CfasciculataCfCl                 CfaC1_02                         chromosome  -          -1         -1         161305     161454     ara    
CfasciculataCfCl_CfaC1_02_4                               CfasciculataCfCl                 CfaC1_02                         chromosome  +          380166     380237     380166     380237     both   
CfasciculataCfCl_CfaC1_04_5                               CfasciculataCfCl                 CfaC1_04                         chromosome  +          -1         -1         27580      27775      ara    
CfasciculataCfCl_CfaC1_04_6                               CfasciculataCfCl                 CfaC1_04                         chromosome  +          555731     555803     555731     555804     both   
CfasciculataCfCl_CfaC1_04_7                               CfasciculataCfCl                 CfaC1_04                         chromosome  -          555856     555926     555856     555926     both   
CfasciculataCfCl_CfaC1_04_8                               CfasciculataCfCl                 CfaC1_04                         chromosome  -          555988     556060     555987     556060     both   
CfasciculataCfCl_CfaC1_05_9                               CfasciculataCfCl                 CfaC1_05                         chromosome  -          -1         -1         107895     107985     ara    
CfasciculataCfCl_CfaC1_05_10                              CfasciculataCfCl                 CfaC1_05                         chromosome  +          279127     279198     279127     279198     both   
CfasciculataCfCl_CfaC1_05_11                              CfasciculataCfCl                 CfaC1_05                         chromosome  +          279262     279344     279262     279345     both   
CfasciculataCfCl_CfaC1_05_12                              CfasciculataCfCl                 CfaC1_05                         chromosome  +          416364     416436     416364     416437     both   
CfasciculataCfCl_CfaC1_05_13                              CfasciculataCfCl                 CfaC1_05                         chromosome  +          416500     416570     416500     416571     both   
CfasciculataCfCl_CfaC1_05_14                              CfasciculataCfCl                 CfaC1_05                         chromosome  +          416631     416703     416631     416703     both   
CfasciculataCfCl_CfaC1_05_15                              CfasciculataCfCl                 CfaC1_05                         chromosome  -          438740     438811     438739     438812     both   
CfasciculataCfCl_CfaC1_05_16                              CfasciculataCfCl                 CfaC1_05                         chromosome  -          438874     438946     438873     438946     both   
CfasciculataCfCl_CfaC1_05_17                              CfasciculataCfCl                 CfaC1_05                         chromosome  +          439021     439092     439021     439093     both   
CfasciculataCfCl_CfaC1_05_18                              CfasciculataCfCl                 CfaC1_05                         chromosome  +          439159     439229     439159     439230     both   
CfasciculataCfCl_CfaC1_05_19                              CfasciculataCfCl                 CfaC1_05                         chromosome  +          -1         -1         612044     612142     ara    
CfasciculataCfCl_CfaC1_06_20                              CfasciculataCfCl                 CfaC1_06                         chromosome  +          244747     244819     244746     244821     both   
CfasciculataCfCl_CfaC1_07_21                              CfasciculataCfCl                 CfaC1_07                         chromosome  -          173343     173415     173342     173415     both   
CfasciculataCfCl_CfaC1_07_22                              CfasciculataCfCl                 CfaC1_07                         chromosome  -          173489     173570     173488     173570     both   
CfasciculataCfCl_CfaC1_07_23                              CfasciculataCfCl                 CfaC1_07                         chromosome  +          173646     173717     173646     173718     both   
CfasciculataCfCl_CfaC1_07_24                              CfasciculataCfCl                 CfaC1_07                         chromosome  +          173778     173848     173778     173849     both   
CfasciculataCfCl_CfaC1_07_25                              CfasciculataCfCl                 CfaC1_07                         chromosome  -          183429     183500     183428     183500     both   
CfasciculataCfCl_CfaC1_07_26                              CfasciculataCfCl                 CfaC1_07                         chromosome  +          183575     183656     183575     183657     both   
CfasciculataCfCl_CfaC1_07_27                              CfasciculataCfCl                 CfaC1_07                         chromosome  -          414233     414305     414233     414305     both   
CfasciculataCfCl_CfaC1_07_28                              CfasciculataCfCl                 CfaC1_07                         chromosome  +          414384     414455     414384     414455     both   
CfasciculataCfCl_CfaC1_07_29                              CfasciculataCfCl                 CfaC1_07                         chromosome  +          -1         -1         441598     441675     ara    
CfasciculataCfCl_CfaC1_08_30                              CfasciculataCfCl                 CfaC1_08                         chromosome  -          453246     453317     453246     453317     both   
CfasciculataCfCl_CfaC1_08_31                              CfasciculataCfCl                 CfaC1_08                         chromosome  -          465850     465921     465850     465921     both   
CfasciculataCfCl_CfaC1_09_32                              CfasciculataCfCl                 CfaC1_09                         chromosome  -          322057     322128     322056     322128     both   
CfasciculataCfCl_CfaC1_09_33                              CfasciculataCfCl                 CfaC1_09                         chromosome  +          322205     322285     322205     322285     both   
CfasciculataCfCl_CfaC1_09_34                              CfasciculataCfCl                 CfaC1_09                         chromosome  +          322346     322418     322345     322420     both   
CfasciculataCfCl_CfaC1_10_35                              CfasciculataCfCl                 CfaC1_10                         chromosome  -          -1         -1         211769     211912     ara    
CfasciculataCfCl_CfaC1_10_36                              CfasciculataCfCl                 CfaC1_10                         chromosome  -          -1         -1         318764     318910     ara    
CfasciculataCfCl_CfaC1_10_37                              CfasciculataCfCl                 CfaC1_10                         chromosome  +          561082     561153     561082     561153     both   
CfasciculataCfCl_CfaC1_11_38                              CfasciculataCfCl                 CfaC1_11                         chromosome  -          284819     284890     284818     284890     both   
CfasciculataCfCl_CfaC1_11_39                              CfasciculataCfCl                 CfaC1_11                         chromosome  -          298933     299004     298933     299004     both   
CfasciculataCfCl_CfaC1_12_40                              CfasciculataCfCl                 CfaC1_12                         chromosome  -          484743     484814     484741     484815     both   
CfasciculataCfCl_CfaC1_13_41                              CfasciculataCfCl                 CfaC1_13                         chromosome  -          -1         -1         377805     377986     ara    
CfasciculataCfCl_CfaC1_13_42                              CfasciculataCfCl                 CfaC1_13                         chromosome  +          403195     403266     403195     403267     both   
CfasciculataCfCl_CfaC1_13_43                              CfasciculataCfCl                 CfaC1_13                         chromosome  +          403327     403400     403327     403401     both   
CfasciculataCfCl_CfaC1_13_44                              CfasciculataCfCl                 CfaC1_13                         chromosome  +          403461     403533     403461     403534     both   
CfasciculataCfCl_CfaC1_14_45                              CfasciculataCfCl                 CfaC1_14                         chromosome  -          -1         -1         291899     292055     ara    
CfasciculataCfCl_CfaC1_15_46                              CfasciculataCfCl                 CfaC1_15                         chromosome  +          198177     198249     198177     198250     both   
CfasciculataCfCl_CfaC1_15_47                              CfasciculataCfCl                 CfaC1_15                         chromosome  +          235929     236002     235929     236002     both   
CfasciculataCfCl_CfaC1_15_48                              CfasciculataCfCl                 CfaC1_15                         chromosome  -          236046     236118     236046     236118     both   
CfasciculataCfCl_CfaC1_15_49                              CfasciculataCfCl                 CfaC1_15                         chromosome  -          236183     236254     236182     236254     both   
CfasciculataCfCl_CfaC1_15_50                              CfasciculataCfCl                 CfaC1_15                         chromosome  -          236315     236386     236315     236386     both   
CfasciculataCfCl_CfaC1_15_51                              CfasciculataCfCl                 CfaC1_15                         chromosome  +          236615     236697     236615     236698     both   
CfasciculataCfCl_CfaC1_15_52                              CfasciculataCfCl                 CfaC1_15                         chromosome  -          236740     236811     236739     236812     both   
CfasciculataCfCl_CfaC1_15_53                              CfasciculataCfCl                 CfaC1_15                         chromosome  +          236885     236956     236884     236957     both   
CfasciculataCfCl_CfaC1_15_54                              CfasciculataCfCl                 CfaC1_15                         chromosome  -          237013     237084     237012     237084     both   
CfasciculataCfCl_CfaC1_15_55                              CfasciculataCfCl                 CfaC1_15                         chromosome  +          237385     237457     237385     237458     both   
CfasciculataCfCl_CfaC1_15_56                              CfasciculataCfCl                 CfaC1_15                         chromosome  +          237522     237593     237522     237593     both   
CfasciculataCfCl_CfaC1_16_57                              CfasciculataCfCl                 CfaC1_16                         chromosome  +          -1         -1         350774     350864     ara    
CfasciculataCfCl_CfaC1_18_58                              CfasciculataCfCl                 CfaC1_18                         chromosome  +          501592     501665     501592     501666     both   
CfasciculataCfCl_CfaC1_20_59                              CfasciculataCfCl                 CfaC1_20                         chromosome  +          -1         -1         1062118    1062230    ara    
CfasciculataCfCl_CfaC1_20_60                              CfasciculataCfCl                 CfaC1_20                         chromosome  -          -1         -1         786959     787130     ara    
CfasciculataCfCl_CfaC1_20_61                              CfasciculataCfCl                 CfaC1_20                         chromosome  -          793948     794029     793947     794029     both   
CfasciculataCfCl_CfaC1_20_62                              CfasciculataCfCl                 CfaC1_20                         chromosome  -          794092     794172     794092     794172     both   
CfasciculataCfCl_CfaC1_21_63                              CfasciculataCfCl                 CfaC1_21                         chromosome  +          246705     246776     246705     246776     both   
CfasciculataCfCl_CfaC1_21_64                              CfasciculataCfCl                 CfaC1_21                         chromosome  +          -1         -1         587019     587114     ara    
CfasciculataCfCl_CfaC1_21_65                              CfasciculataCfCl                 CfaC1_21                         chromosome  +          -1         -1         958210     958303     ara    
CfasciculataCfCl_CfaC1_22_66                              CfasciculataCfCl                 CfaC1_22                         chromosome  -          1068413    1068484    1068411    1068485    both   
CfasciculataCfCl_CfaC1_22_67                              CfasciculataCfCl                 CfaC1_22                         chromosome  +          638034     638121     638034     638121     both   
CfasciculataCfCl_CfaC1_23_68                              CfasciculataCfCl                 CfaC1_23                         chromosome  +          976089     976161     976089     976161     both   
CfasciculataCfCl_CfaC1_24_69                              CfasciculataCfCl                 CfaC1_24                         chromosome  +          1103407    1103478    1103407    1103479    both   
CfasciculataCfCl_CfaC1_24_70                              CfasciculataCfCl                 CfaC1_24                         chromosome  -          1103530    1103601    1103528    1103602    both   
CfasciculataCfCl_CfaC1_24_71                              CfasciculataCfCl                 CfaC1_24                         chromosome  +          -1         -1         545392     545552     ara    
CfasciculataCfCl_CfaC1_25_72                              CfasciculataCfCl                 CfaC1_25                         chromosome  +          1231721    1231792    1231720    1231794    both   
CfasciculataCfCl_CfaC1_25_73                              CfasciculataCfCl                 CfaC1_25                         chromosome  -          1231842    1231915    1231841    1231915    both   
CfasciculataCfCl_CfaC1_25_74                              CfasciculataCfCl                 CfaC1_25                         chromosome  -          1231990    1232071    1231990    1232071    both   
CfasciculataCfCl_CfaC1_25_75                              CfasciculataCfCl                 CfaC1_25                         chromosome  +          1232155    1232228    1232155    1232229    both   
CfasciculataCfCl_CfaC1_25_76                              CfasciculataCfCl                 CfaC1_25                         chromosome  -          465871     465954     465871     465954     both   
CfasciculataCfCl_CfaC1_25_77                              CfasciculataCfCl                 CfaC1_25                         chromosome  -          466024     466095     466024     466095     both   
CfasciculataCfCl_CfaC1_25_78                              CfasciculataCfCl                 CfaC1_25                         chromosome  -          466158     466229     466158     466229     both   
CfasciculataCfCl_CfaC1_25_79                              CfasciculataCfCl                 CfaC1_25                         chromosome  -          466293     466364     466292     466364     both   
CfasciculataCfCl_CfaC1_25_80                              CfasciculataCfCl                 CfaC1_25                         chromosome  -          -1         -1         622662     622774     ara    
CfasciculataCfCl_CfaC1_25_81                              CfasciculataCfCl                 CfaC1_25                         chromosome  +          975256     975326     975256     975326     both   
CfasciculataCfCl_CfaC1_25_82                              CfasciculataCfCl                 CfaC1_25                         chromosome  +          975390     975461     975390     975461     both   
CfasciculataCfCl_CfaC1_25_83                              CfasciculataCfCl                 CfaC1_25                         chromosome  -          976977     977048     976977     977048     both   
CfasciculataCfCl_CfaC1_25_84                              CfasciculataCfCl                 CfaC1_25                         chromosome  -          977112     977182     977112     977182     both   
CfasciculataCfCl_CfaC1_25_85                              CfasciculataCfCl                 CfaC1_25                         chromosome  +          977256     977327     977256     977328     both   
CfasciculataCfCl_CfaC1_26_86                              CfasciculataCfCl                 CfaC1_26                         chromosome  +          1051497    1051569    1051497    1051570    both   
CfasciculataCfCl_CfaC1_26_87                              CfasciculataCfCl                 CfaC1_26                         chromosome  -          1071896    1071967    1071896    1071967    both   
CfasciculataCfCl_CfaC1_26_88                              CfasciculataCfCl                 CfaC1_26                         chromosome  -          -1         -1         1217463    1217670    ara    
CfasciculataCfCl_CfaC1_26_89                              CfasciculataCfCl                 CfaC1_26                         chromosome  -          172254     172334     172254     172334     both   
CfasciculataCfCl_CfaC1_27_90                              CfasciculataCfCl                 CfaC1_27                         chromosome  -          1019429    1019500    1019428    1019500    both   
CfasciculataCfCl_CfaC1_27_91                              CfasciculataCfCl                 CfaC1_27                         chromosome  -          1212225    1212307    1212224    1212307    both   
CfasciculataCfCl_CfaC1_27_92                              CfasciculataCfCl                 CfaC1_27                         chromosome  +          1794140    1794212    1794140    1794212    both   
CfasciculataCfCl_CfaC1_27_93                              CfasciculataCfCl                 CfaC1_27                         chromosome  -          1794258    1794338    1794257    1794339    both   
CfasciculataCfCl_CfaC1_27_94                              CfasciculataCfCl                 CfaC1_27                         chromosome  -          249971     250043     249971     250043     both   
CfasciculataCfCl_CfaC1_27_95                              CfasciculataCfCl                 CfaC1_27                         chromosome  -          305821     305894     305820     305894     both   
CfasciculataCfCl_CfaC1_27_96                              CfasciculataCfCl                 CfaC1_27                         chromosome  +          599231     599301     599231     599301     both   
CfasciculataCfCl_CfaC1_27_97                              CfasciculataCfCl                 CfaC1_27                         chromosome  -          599357     599428     599355     599429     both   
CfasciculataCfCl_CfaC1_27_98                              CfasciculataCfCl                 CfaC1_27                         chromosome  -          -1         -1         788482     788644     ara    
CfasciculataCfCl_CfaC1_27_99                              CfasciculataCfCl                 CfaC1_27                         chromosome  -          925718     925789     925718     925789     both   
CfasciculataCfCl_CfaC1_28_100                             CfasciculataCfCl                 CfaC1_28                         chromosome  -          1188644    1188715    1188642    1188716    both   
CfasciculataCfCl_CfaC1_28_101                             CfasciculataCfCl                 CfaC1_28                         chromosome  +          1421960    1422040    1421960    1422040    both   
CfasciculataCfCl_CfaC1_28_102                             CfasciculataCfCl                 CfaC1_28                         chromosome  -          158689     158761     158687     158761     both   
CfasciculataCfCl_CfaC1_28_103                             CfasciculataCfCl                 CfaC1_28                         chromosome  -          158833     158905     158832     158905     both   
CfasciculataCfCl_CfaC1_28_104                             CfasciculataCfCl                 CfaC1_28                         chromosome  +          158989     159060     158989     159061     both   
CfasciculataCfCl_CfaC1_28_105                             CfasciculataCfCl                 CfaC1_28                         chromosome  +          159121     159192     159120     159194     both   
CfasciculataCfCl_CfaC1_28_106                             CfasciculataCfCl                 CfaC1_28                         chromosome  -          -1         -1         1839282    1839369    ara    
CfasciculataCfCl_CfaC1_28_107                             CfasciculataCfCl                 CfaC1_28                         chromosome  +          1962686    1962757    1962686    1962758    both   
CfasciculataCfCl_CfaC1_28_108                             CfasciculataCfCl                 CfaC1_28                         chromosome  -          1962812    1962893    1962811    1962893    both   
CfasciculataCfCl_CfaC1_28_109                             CfasciculataCfCl                 CfaC1_28                         chromosome  -          1962954    1963025    1962954    1963025    both   
CfasciculataCfCl_CfaC1_28_110                             CfasciculataCfCl                 CfaC1_28                         chromosome  +          1963098    1963169    1963098    1963170    both   
CfasciculataCfCl_CfaC1_28_111                             CfasciculataCfCl                 CfaC1_28                         chromosome  -          527271     527343     527270     527343     both   
CfasciculataCfCl_CfaC1_29_112                             CfasciculataCfCl                 CfaC1_29                         chromosome  -          1114131    1114204    1114130    1114204    both   
CfasciculataCfCl_CfaC1_29_113                             CfasciculataCfCl                 CfaC1_29                         chromosome  +          1114278    1114361    1114278    1114361    both   
CfasciculataCfCl_CfaC1_29_114                             CfasciculataCfCl                 CfaC1_29                         chromosome  +          1114422    1114495    1114422    1114496    both   
CfasciculataCfCl_CfaC1_29_115                             CfasciculataCfCl                 CfaC1_29                         chromosome  +          1114561    1114633    1114561    1114633    both   
CfasciculataCfCl_CfaC1_29_116                             CfasciculataCfCl                 CfaC1_29                         chromosome  -          1114731    1114810    1114731    1114810    both   
CfasciculataCfCl_CfaC1_29_117                             CfasciculataCfCl                 CfaC1_29                         chromosome  +          1114884    1114964    1114883    1114965    both   
CfasciculataCfCl_CfaC1_29_118                             CfasciculataCfCl                 CfaC1_29                         chromosome  -          1874678    1874750    1874677    1874750    both   
CfasciculataCfCl_CfaC1_29_119                             CfasciculataCfCl                 CfaC1_29                         chromosome  -          1874812    1874895    1874811    1874895    both   
CfasciculataCfCl_CfaC1_29_120                             CfasciculataCfCl                 CfaC1_29                         chromosome  -          1874955    1875026    1874955    1875026    both   
CfasciculataCfCl_CfaC1_29_121                             CfasciculataCfCl                 CfaC1_29                         chromosome  +          1875106    1875177    1875106    1875177    both   
CfasciculataCfCl_CfaC1_29_122                             CfasciculataCfCl                 CfaC1_29                         chromosome  +          1875237    1875309    1875237    1875310    both   
CfasciculataCfCl_CfaC1_29_123                             CfasciculataCfCl                 CfaC1_29                         chromosome  -          -1         -1         936290     936379     ara    
CfasciculataCfCl_CfaC1_30_124                             CfasciculataCfCl                 CfaC1_30                         chromosome  -          -1         -1         104363     104481     ara    
CfasciculataCfCl_CfaC1_30_125                             CfasciculataCfCl                 CfaC1_30                         chromosome  -          -1         -1         118177     118326     ara    
CfasciculataCfCl_CfaC1_30_126                             CfasciculataCfCl                 CfaC1_30                         chromosome  +          -1         -1         1484252    1484420    ara    
CfasciculataCfCl_CfaC1_30_127                             CfasciculataCfCl                 CfaC1_30                         chromosome  -          -1         -1         1603725    1603868    ara    
CfasciculataCfCl_CfaC1_30_128                             CfasciculataCfCl                 CfaC1_30                         chromosome  +          -1         -1         2106696    2106849    ara    
CfasciculataCfCl_CfaC1_30_129                             CfasciculataCfCl                 CfaC1_30                         chromosome  +          -1         -1         2242979    2243098    ara    
CfasciculataCfCl_CfaC1_30_130                             CfasciculataCfCl                 CfaC1_30                         chromosome  +          -1         -1         2299167    2299268    ara    
CfasciculataCfCl_CfaC1_30_131                             CfasciculataCfCl                 CfaC1_30                         chromosome  +          -1         -1         2746239    2746395    ara    
CfasciculataCfCl_CfaC1_30_132                             CfasciculataCfCl                 CfaC1_30                         chromosome  +          -1         -1         2956718    2956816    ara    
CfasciculataCfCl_CfaC1_30_133                             CfasciculataCfCl                 CfaC1_30                         chromosome  +          37711      37782      37711      37782      both   
CfasciculataCfCl_CfaC1_30_134                             CfasciculataCfCl                 CfaC1_30                         chromosome  +          600167     600238     600166     600241     both   
CfasciculataCfCl_CfaC1_30_135                             CfasciculataCfCl                 CfaC1_30                         chromosome  +          -1         -1         811288     811401     ara    
EmonterogeiiLV88_EmoLV88_03_1                             EmonterogeiiLV88                 EmoLV88_03                       chromosome  +          226033     226105     226033     226106     both   
EmonterogeiiLV88_EmoLV88_03_2                             EmonterogeiiLV88                 EmoLV88_03                       chromosome  +          226860     226932     226860     226933     both   
EmonterogeiiLV88_EmoLV88_05_3                             EmonterogeiiLV88                 EmoLV88_05                       chromosome  +          349359     349430     349359     349430     both   
EmonterogeiiLV88_EmoLV88_06_4                             EmonterogeiiLV88                 EmoLV88_06                       chromosome  -          64642      64729      64642      64729      both   
EmonterogeiiLV88_EmoLV88_06_5                             EmonterogeiiLV88                 EmoLV88_06                       chromosome  -          -1         -1         64769      64857      ara    
EmonterogeiiLV88_EmoLV88_07_6                             EmonterogeiiLV88                 EmoLV88_07                       chromosome  -          386207     386278     386205     386279     both   
